ต้ง	ຕົ້ງ
เลฟาอิม	ເລຟາອິມ
โคลา	ໂຄລາ
โคเล	ໂຄເລ
เมเซเลมิยา	ເມເຊເລມິຢາ
เสบาดิยา	ເສບາດິຢາ
ย้าดนีเอน	ຢ໊າດນີເອນ
เอลีโฮไน	ເອລີໂຮໄນ
สับดีเอน	ສັບດີເອນ
ยาโซเบอัม	ຢາໂຊເບອຳ
อาโหไฮ	ອາໂຫໄຮ
โดได	ໂດໄດ
มิกโล้ด	ມິກໂລດ
กีโล	ກີໂລ
เนโค	ເນໂຄ
เยโฮยาคีน	ເຢໂຮຢາຄີນ
ปาหัดโมอับ	ປາຫັດໂມອັບ
มาลาโย้ด	ມາລາຢົ໊ດ
โทบีอา	ໂທບີອາ
อาหลับ	ອາຫລັບ
เกเซม	ເກເຊມ
เมเลโม้ด	ເມເລມົດ
สุสา	ສຸສາ
สันโมน	ສັນມົນ
ลาหับ	ລາຫັບ
เดบี	ເດບີ
ลิสะตา	ລິສະຕາ
ฟีนีเซีย	ຟີນີເຊຍ
อาคายา	ອາຄາຢາ
ยากอบ	ຢາກອບ
ยิวดา	ຢິວດາ
เยซู	yesu
ทินฮู่ง	ທິນຮູ່ງ
เจ๊าโหล่ว	ເຈົ໊າໂຫລ່ວ
เดาเป้ย	ເດົາເປີ້ຍ
หญู่งๆ	ຫຍູ່ງໆ
เฒ้ยฟุน	ເຕສີ໊ຍຟຸນ
ฝีงๆ	ຝີງໆ
เต่ยปูง	ເຕີ່ຍປູງ
กงโฒ่	ກົງໂຕສ້
หฮญังเจ๊ย	ຫຮຍັງເຈີ໊ຍ
ด๊บลิ่ว	ດົ໊ບລິ່ວ
จาตี้ง	ຈາຕີ້ງ
ฟินเมี่ยน	ຟິນມ່ຽນ
ลุยโหว	ລຸຍໂຫວ
ตอนโฮล	ຕອນໂຮລ
แปงเปย๊ย	ແປງເປຢີ໊ຍ
ววมเหมว่ย	ວວມເໝວີ່ຍ
วินวั้ง	ວິນວັ້ງ
เต่ยปูงฮวาง	ເຕີ່ຍປູງຮວາງ
เก๊าะเมี่ยน	ເກ໊າະມ່ຽນ
ปั์วเดี๊ย	ປົ໌ວເດ໊ຍ
ม์าเธีย	ມ໌າເທສຍ
ก๋อโย์ว	ກໍ໋ໂຢ໌ວ
นอมๆ	ນອມໆ
จุนแปง	ຈຸນແປງ
แปงกวั้น	ແປງກວັ້ນ
เดียโธว	ເດຍໂທສວ
ฌังหล่าง	ອຈັງຫລ່າງ
ป๊วนมู้ง	ປ໊ວນມູ້ງ
ไซก๋อ	ໄຊກໍ໋
ฟางต้าว	ຟາງຕ້າວ
ฟางหฆาย	ຟາງອກ໋າຍ
หมิ่วเปย๊า	ໝິ່ວເປຢົ໊າ
เฒ้ยฟุน	ເຕສີ໊ຍຟຸນ
เฮยห่อง	ເຮີຍຫ່ອງ
ปู๋งซีง	ປູ໋ງຊີງ
ปู๋งเฉีย	ປູ໋ງເຖຈຍ
ซ้ายดุย	ຊ້າຍດຸຍ
ปั์วโด๊ะแฑง	ປົ໌ວໂດ໊ະແດສງ
เหฒาเฮลน	ເຕສົ໋າເຮລນ
เจียมปย๊า	ຈຽມປຢ໊າ
กะน้ายหฮงง	ກະນ້າຍຫຮງົງ
แฒะเฒี้ยว	ແຕສ໊ະຕສ໊ຽວ
หฮวาญิ์น	ຫຮວາຍິ໌ນ
เดาฆาย	ເດົາອກາຍ
เต่ยปูงฮ์าน	ເຕີ່ຍປູງຮ໌ານ
ฮนอยๆ	ຮນອຍໆ
เธงโฮล	ເທສງໂຮລ
